time/total_timesteps,train/actor_loss,time/fps,time/time_elapsed,train/learning_rate,train/reward,train/n_updates,time/episodes,train/critic_loss
12076,5515.490042232527,320,37,0.001,-17.702072,9057,4,28929.565500662477
24152,2793.873861539676,269,89,0.001,-17.702072,21133,8,850.7466844430464
36228,1393.847472942361,250,144,0.001,-17.702072,33209,12,1700.1741591836096
48304,686.4480507425142,231,208,0.001,-17.702072,45285,16,205.72192013030732
