,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2009-01-02,aapl,3.067142963409424,3.2514290809631348,3.041429042816162,2.7473902702331543,746015200.0,4.0,0.0,2.969345364247121,2.641386237467967,100.0,66.66666666666652,100.0,2.7473902702331543,2.7473902702331543,39.189998626708984,0.0
1,2009-01-05,aapl,3.327500104904175,3.434999942779541,3.3110709190368652,2.8633413314819336,1181608400.0,0.0,0.002601466117761131,2.969345364247121,2.641386237467967,100.0,66.66666666666652,100.0,2.805365800857544,2.805365800857544,39.08000183105469,0.0
2,2009-01-06,aapl,3.426785945892334,3.4703569412231445,3.299643039703369,2.8161134719848633,1289310400.0,1.0,0.001850251093766353,2.9255616726812135,2.6923350431187543,70.35546563494977,46.86572142739522,100.0,2.808948357899984,2.808948357899984,38.560001373291016,0.0
3,2009-01-07,aapl,3.2789289951324463,3.3035709857940674,3.2235710620880127,2.7552602291107178,753048800.0,2.0,-0.0007338443386637472,2.904834111163739,2.6862185402415957,50.42888700240082,-29.67719473248014,43.60783406186804,2.7955263257026672,2.7955263257026672,43.38999938964844,0.0
4,2009-01-08,aapl,3.2296431064605713,3.3267860412597656,3.2157139778137207,2.8064253330230713,673500800.0,3.0,-8.657663675570859e-05,2.89287006287907,2.7025421914544263,60.22689487838621,-9.098804632910985,48.35791753620477,2.797706127166748,2.797706127166748,42.560001373291016,0.0
5,2009-01-09,aapl,3.3289289474487305,3.3350000381469727,3.2192859649658203,2.742243766784668,546845600.0,4.0,-0.002440294966894463,2.8848763794071655,2.6920484214656373,47.932685993073086,-27.01809872415207,49.95238035665998,2.7884624004364014,2.7884624004364014,42.81999969482422,0.0
6,2009-01-12,aapl,3.2307140827178955,3.249643087387085,3.12678599357605,2.6841180324554443,617716400.0,0.0,-0.006540917944822144,2.8917421410248623,2.6553699832819526,40.23744969918653,-101.50273327927391,9.320766091849087,2.7735560621534074,2.7735560621534074,45.84000015258789,0.0
7,2009-01-13,aapl,3.1514289379119873,3.2049999237060547,3.0839290618896484,2.655357599258423,798397600.0,1.0,-0.010553182966280161,2.8964691848973785,2.6210933236856904,37.18201281105872,-113.44870670753343,3.614243244387716,2.7587812542915344,2.7587812542915344,43.27000045776367,0.0
8,2009-01-14,aapl,3.0799999237060547,3.1160709857940674,3.0257139205932617,2.583303451538086,1021664000.0,2.0,-0.016745898415212235,2.913277277727599,2.5652901635769254,31.067804235479628,-135.8883102801233,17.7460980356074,2.739283720652262,2.739283720652262,49.13999938964844,0.0
9,2009-01-15,aapl,2.877500057220459,3.004286050796509,2.858928918838501,2.524268388748169,1831634000.0,3.0,-0.023936068150953282,2.9308611498374644,2.5047032250862413,27.26743386948108,-166.48414109087142,43.23502243732984,2.717782187461853,2.717782187461853,51.0,0.0
