time/iterations,train/value_loss,train/explained_variance,train/std,time/total_timesteps,train/policy_loss,time/time_elapsed,train/learning_rate,train/reward,train/n_updates,train/entropy_loss,time/fps
4600,4.4153304770588875e-05,0.0,2.108059883117676,23000,0.013383050449192524,14,0.0007,0.0,4599,-2.1641602516174316,1638
4700,0.0001069707068381831,0.0,2.233358144760132,23500,-0.02168900892138481,14,0.0007,-0.0007424225,4699,-2.222014904022217,1640
4800,0.01998184435069561,-1.1920928955078125e-07,2.3244664669036865,24000,0.1677558720111847,14,0.0007,-0.05938531,4799,-2.2610111236572266,1639
4900,0.00021057606500107795,0.0,2.345137596130371,24500,0.01816004142165184,14,0.0007,0.006540619,4899,-2.270860433578491,1637
5000,8.983256520878058e-07,1.7881393432617188e-07,2.4057741165161133,25000,-0.0016125853871926665,15,0.0007,0.0,4999,-2.2965457439422607,1638
5100,1.2997232943234849e-06,0.0,2.4938037395477295,25500,0.0020709866657853127,15,0.0007,7.155558e-05,5099,-2.332329750061035,1638
5200,0.00023304438218474388,0.0,2.607215166091919,26000,-0.027080100029706955,15,0.0007,0.0,5199,-2.376370668411255,1640
5300,9.993794083129615e-05,-1.1920928955078125e-07,2.7422423362731934,26500,-0.02176855504512787,16,0.0007,-0.00040138833,5299,-2.4272260665893555,1642
5400,19.10425567626953,0.0,2.7841525077819824,27000,-9.53353214263916,16,0.0007,-1.2408738,5399,-2.442361354827881,1644
5500,0.00061290233861655,1.1920928955078125e-07,2.794127941131592,27500,0.02058187499642372,16,0.0007,-0.0151214795,5499,-2.4458651542663574,1644
5600,0.08918680250644684,0.0,2.821113109588623,28000,-0.8111151456832886,17,0.0007,-0.051885344,5599,-2.4572668075561523,1646
5700,0.9696944355964661,0.0,2.846250057220459,28500,-2.349398612976074,17,0.0007,-0.24154699,5699,-2.465275764465332,1648
5800,1.389664888381958,0.0,2.8636956214904785,29000,2.2224667072296143,17,0.0007,0.13284288,5799,-2.4714274406433105,1650
5900,1.4777005910873413,0.0,2.8925139904022217,29500,-1.9193103313446045,17,0.0007,0.36808068,5899,-2.4806392192840576,1652
6000,16.154254913330078,0.0,2.93161940574646,30000,5.0589494705200195,18,0.0007,-0.16317473,5999,-2.4945197105407715,1653
6100,0.0001481115323258564,5.960464477539063e-08,2.966460704803467,30500,-0.016231566667556763,18,0.0007,0.009646429,6099,-2.5061278343200684,1655
6200,0.3187907338142395,0.0,2.9744393825531006,31000,1.2441608905792236,18,0.0007,-0.044992648,6199,-2.509347438812256,1655
6300,0.00012439678539521992,0.0,3.007474899291992,31500,0.027846962213516235,19,0.0007,-0.0005181094,6299,-2.5197696685791016,1656
6400,0.00010089886200148612,0.0,3.0667333602905273,32000,0.0193245317786932,19,0.0007,-0.00010430558,6399,-2.5393729209899902,1658
6500,0.0009248265996575356,-1.1920928955078125e-07,3.1484174728393555,32500,-0.07605122774839401,19,0.0007,-0.00010386604,6499,-2.5658717155456543,1659
6600,3.5948638916015625,5.960464477539063e-08,3.1893935203552246,33000,-4.416503429412842,19,0.0007,1.2243046,6599,-2.579796314239502,1661
6700,0.0024470596108585596,5.960464477539063e-08,3.1945743560791016,33500,-0.11448244750499725,20,0.0007,-0.0012358285,6699,-2.57981538772583,1660
6800,0.004881201311945915,-1.1920928955078125e-07,3.260939359664917,34000,-0.0053367167711257935,20,0.0007,0.021791404,6799,-2.6006712913513184,1662
6900,0.016583111137151718,5.960464477539063e-08,3.281343936920166,34500,0.29347681999206543,20,0.0007,-0.04358323,6899,-2.6066031455993652,1662
7000,0.016227182000875473,0.0,3.3136680126190186,35000,-0.08849348872900009,21,0.0007,0.2921338,6999,-2.6171464920043945,1662
7100,0.0013453925494104624,-1.1920928955078125e-07,3.382537364959717,35500,-0.050135232508182526,21,0.0007,-0.044276576,7099,-2.63708233833313,1663
7200,0.002326526679098606,0.0,3.4480490684509277,36000,0.0459771528840065,21,0.0007,-0.0002699685,7199,-2.6550838947296143,1663
7300,0.0001838832686189562,1.1920928955078125e-07,3.479978322982788,36500,-0.025350108742713928,21,0.0007,0.0014257905,7299,-2.6660659313201904,1664
7400,1.647426529416407e-06,-1.1920928955078125e-07,3.599342107772827,37000,0.0006518698064610362,22,0.0007,-0.0021695024,7399,-2.6993179321289062,1664
7500,4.05419177695876e-06,-1.1920928955078125e-07,3.727045774459839,37500,-0.004915449768304825,22,0.0007,0.0069482904,7499,-2.7341723442077637,1663
7600,0.02197229489684105,0.0,3.8773000240325928,38000,-0.15998077392578125,22,0.0007,-0.017363604,7599,-2.772625684738159,1664
7700,0.00015207903925329447,0.0,3.9607343673706055,38500,0.030028115957975388,23,0.0007,-0.00017717194,7699,-2.795140266418457,1665
7800,0.0018298921640962362,-1.1920928955078125e-07,4.062959671020508,39000,0.09229255467653275,23,0.0007,0.029669594,7799,-2.820887565612793,1665
7900,0.015373277477920055,0.0,4.067971706390381,39500,0.35654357075691223,23,0.0007,0.0040868553,7899,-2.8211331367492676,1666
8000,0.18237726390361786,0.0,4.166451930999756,40000,1.1247729063034058,23,0.0007,-0.12835889,7999,-2.846182346343994,1667
8100,0.04150420054793358,0.0,4.218385696411133,40500,-0.4449092745780945,24,0.0007,-0.07380937,8099,-2.858081102371216,1666
8200,3.2622122764587402,0.0,4.241156101226807,41000,-5.011165618896484,24,0.0007,-1.205714,8199,-2.863813877105713,1667
8300,1.8458938598632812,0.0,4.245284080505371,41500,-3.069667100906372,24,0.0007,0.4174635,8299,-2.8645036220550537,1667
8400,35.986995697021484,-0.0005654096603393555,4.182801723480225,42000,-17.16327476501465,25,0.0007,1.3507124,8399,-2.8500170707702637,1668
8500,0.010599895380437374,-1.1920928955078125e-07,4.2031378746032715,42500,-0.27684542536735535,25,0.0007,-0.0868334,8499,-2.8550496101379395,1669
8600,0.27359774708747864,5.960464477539063e-08,4.3026628494262695,43000,-0.540169358253479,25,0.0007,0.57871115,8599,-2.8776192665100098,1670
8700,0.42046791315078735,5.960464477539063e-08,4.345980644226074,43500,-1.3614909648895264,26,0.0007,1.1690774,8699,-2.8880882263183594,1670
8800,56.732032775878906,0.0,4.3321123123168945,44000,-20.316879272460938,26,0.0007,0.61780393,8799,-2.8850104808807373,1671
8900,56.57539749145508,0.0,4.306519985198975,44500,16.773052215576172,26,0.0007,-3.1195874,8899,-2.8793365955352783,1671
9000,165.1925048828125,0.0009474754333496094,4.268437385559082,45000,30.908193588256836,26,0.0007,-0.3395059,8999,-2.870020866394043,1670
9100,0.07595526427030563,0.0,4.2976603507995605,45500,-0.6623021960258484,27,0.0007,0.22284432,9099,-2.8770647048950195,1670
9200,0.24120362102985382,0.0,4.308511257171631,46000,0.6938518285751343,27,0.0007,0.097237065,9199,-2.8782033920288086,1670
9300,7.0958380699157715,1.1920928955078125e-07,4.317963600158691,46500,5.718331336975098,27,0.0007,1.5779971,9299,-2.882124900817871,1671
9400,1.3013923168182373,0.0,4.397345542907715,47000,0.43253421783447266,28,0.0007,-6.368835,9399,-2.9011244773864746,1672
9500,0.3522834777832031,0.0,4.4166669845581055,47500,-0.5775736570358276,28,0.0007,-6.662285,9499,-2.905869722366333,1673
9600,65.01689147949219,-0.005026340484619141,4.418274402618408,48000,16.14968490600586,28,0.0007,-1.7336643,9599,-2.9047300815582275,1674
9700,0.012966776266694069,0.0,4.41564416885376,48500,0.2617277503013611,28,0.0007,-0.021133602,9699,-2.9045040607452393,1675
9800,1.5409129858016968,0.0,4.385166168212891,49000,-3.0393905639648438,29,0.0007,-0.0987329,9799,-2.896650552749634,1676
9900,3.721076488494873,0.0,4.394477367401123,49500,1.7569078207015991,29,0.0007,-1.2517282,9899,-2.90006685256958,1677
10000,17.55904769897461,-0.05785679817199707,4.321866512298584,50000,-10.23045825958252,29,0.0007,-6.051622,9999,-2.882699489593506,1678
